Id;Marca;cilindr ;PotLiqMx;TorqLqMx;Ac_0_100;Vel_Max;Comp;Disteixo;Larg;Alt;Volcarga;Tanque
1;GM;1998;0.0252;0.0048;10.6;192;4266;2614;1989;1431;370;52
2;GM;1998;0.0223;0.0072;11.2;188;4342;2614;1989;1425;460;52
3;VW;1984;0.0223;0.0072;11.9;192;4376;2512;1739;1437;455;55
4;GM;1000;0.0111;0.0029;15.5;157;3822;2491;1954;1432;260;44
5;GM;1000;0.0111;0.0029;15.5;157;3822;2491;1954;1432;432;44
6;FIAT;1300;0.0145;0.003;16.0;148;4159;2566;1962;1834;750;60
7;VW;999;0.0118;0.002;14.3;162;3804;2464;1640;1544;260;50
8;VW;999;0.0110;0.0025;17.4;145;3807;2468;1620;1411;285;51
9;VW;1599;0.0184;0.0044;11.7;184;4149;2515;1735;1459;330;55
10;VW;1584;0.0138;0.0044;26.1;120;4505;2400;1720;2003;804;45
11;FIAT;1998;0.0303;0.006;7.4;227;4393;2540;1741;1450;430;63
12;GM;1800;0.0194;0.0056;12.6;178;4042;2630;1944;1573;390;52
13;FIAT;1000;0.0100;0.0034;19.0;151;3644;2362;1548;1445;290;50
14;GM;1800;0.0194;0.00567;12.3;164;4430;2714;1954;1470;735;53
15;FIAT;1796;0.0191;0.0061;10.6;176;4250;2463;1655;1595;460;51
16;FIAT;999;0.0104;0.003;15.8;154;3763;2373;1620;1440;280;48
17;VW;1596;0.0169;0.0047;11.7;183;4170;2468;1640;1417;437;51
18;VW;1781;0.0263;0.0056;10.5;215;4703;2702;1746;1481;475;62
19;VW;1599;0.0184;0.0044;11.5;185;4179;2464;1650;1484;432;45
20;VW;1781;0.0189;0.0052;11.8;176;4607;2550;1700;1423;413;72
21;VW;1596;0.0169;0.0047;12.0;164;4463;2598;1621;1442;187;53
22;FIAT;1800;0.0290;0.0065;8.4;212;4253;2600;1756;1535;430;58
23;FIAT;1795;0.0191;0.0061;9.7;178;4400;2718;1890;1525;705;58
24;GM;2200;0.0256;0.0052;10.8;194;4495;2640;1856;1415;500;57
