cliente;RespCampanha;TempoDesdeUltCompra;TempoRel;VlMedio;Pct_Vestuario;RegValorCli;RendaMensal
172;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
375;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
578;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
781;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
984;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
1187;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
1390;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
1593;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
1796;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
1999;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
2202;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
2405;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
2608;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
2811;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
3014;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
3217;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
3420;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
3623;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
3826;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
4029;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
4232;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
4435;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
4638;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
4841;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
5044;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
5247;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
5450;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
5653;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
5856;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
6059;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
6262;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
6465;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
6668;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
6871;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
7074;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
7277;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
7480;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
7683;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
7886;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
8089;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
8292;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
8495;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
8698;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
8901;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
9104;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
9307;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
9510;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
9713;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
9916;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
10119;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
10322;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
10525;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
10728;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
10931;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
11134;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
11337;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
11540;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
11743;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
11946;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
12149;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
12352;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
12555;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
12758;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
12961;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
13164;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
